1,1,4
1,10,3
1,11,3
1,12,5
1,13,4
1,14,5
1,15,5
1,16,1
1,17,1
1,18,5
1,19,3
1,20,5
1,21,4
1,22,2
1,23,4
1,24,5
1,25,5
1,26,4
1,27,5
1,28,5
1,29,1
1,30,3
1,31,2
1,32,4
2,71,2
2,81,4
2,82,3
2,83,3
2,84,1
2,85,1
2,86,2
2,87,3
2,88,1
2,89,5
2,90,5
2,91,5
2,92,1
2,93,4
2,94,4
2,95,5
2,96,1
2,97,3
2,98,5
2,99,5
2,100,5
2,101,3
3,98,5
3,163,4
3,164,5
3,165,5
3,166,5
3,167,5
3,168,5
3,169,2
3,170,2
3,171,3
3,172,4
3,173,1
3,174,5
3,175,4
3,176,2
3,177,4
3,178,3
3,179,4
3,180,1
3,181,5
3,182,5
3,183,4
3,184,5
3,185,4
3,186,4
3,187,5
3,188,2
3,189,5
3,190,5
4,84,4
4,191,2
4,192,3
4,193,5
4,194,4
4,195,2
4,196,2
4,197,4
4,198,4
4,199,5
4,200,4
4,201,5
4,202,4
4,203,5
4,204,1
4,205,5
4,206,5
4,207,5
4,208,3
4,209,4
4,210,1
4,211,5
4,212,2
4,213,5
4,214,4
5,64,5
5,68,5
5,215,5
5,216,5
5,217,5
5,218,2
5,218,5
5,219,5
5,220,4
5,221,5
5,222,4
5,223,5
5,224,5
5,225,5
5,226,5
6,96,4
6,109,5
6,228,2
6,232,5
6,233,5
6,234,1
6,235,5
6,236,4
6,237,4
6,238,4
6,239,4
6,240,1
6,241,5
6,242,1
6,243,5
6,244,3
6,245,5
6,246,5
6,247,1
6,248,1
6,249,1
6,250,1
6,251,5
6,252,5
6,253,5
6,254,4
6,255,5
7,36,5
7,64,5
7,79,4
7,265,2
7,266,5
7,267,5
7,268,5
7,269,5
7,270,4
7,271,5
7,272,5
7,273,4
7,274,3
7,275,5
7,276,5
8,295,4
8,296,5
8,297,3
8,298,5
8,299,4
8,300,4
8,301,5
8,301,5
8,301,5
8,302,4
8,303,4
8,304,4
